categoria;sub-categoria;variable
Condiciones y calidad ambiental;Condiciones Físicas;Precipitación
Condiciones y calidad ambiental;Condiciones Físicas;Evapotranspiración
Condiciones y calidad ambiental;Cobertura terrestre, ecosistemas y biodiversidad ;Superficie forestal como proporción de la superficie total
Condiciones y calidad ambiental;Cobertura terrestre, ecosistemas y biodiversidad ;Índice de la lista Roja
Condiciones y calidad ambiental;Cobertura terrestre, ecosistemas y biodiversidad ;Cambio en la extensión de los ecosistemas relacionados con el agua a lo largo del tiempo
Condiciones y calidad ambiental;Cobertura terrestre, ecosistemas y biodiversidad ;Cobertura de las zonas protegidas en relación con las zonas marinas
Calidad ambiental;Calidad del aire;Concentraciones de óxido de nitrógeno
Calidad ambiental;Calidad del aire;Concentraciones de partículas suspendidas
Calidad ambiental;Calidad del aire;Concentraciones de plomo
Calidad ambiental;Calidad del aire;Partículas PM10
Calidad ambiental;Calidad del aire;Partículas PM2.5
